,책제목,artist,song_name,id,spotify_artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,mood
24,잊었던 용기,Yutaka Hirasaka,amaretto,5Oje3rq0K9GSyvlWlOmjoG,yutaka hirasaka,0.302,0.0667,0.0,-19.507,1.0,0.0453,0.98,0.94,0.111,0.116,78.091,"['relief', 'happiness', 'love']"
25,잊었던 용기,RADWIMPS,Theme of mitsuha,66HNv8qd9jr7q5P9nNTOOZ,RADWIMPS,0.615,0.152,0.0,-17.208,1.0,0.0583,0.987,0.906,0.111,0.251,123.701,"['relief', 'happiness', 'love']"
26,잊었던 용기,Raujika,Pastoral,0cPrPXrM1bKISuj7Hp9rj6,Raujika,0.518,0.475,3.0,-13.911,1.0,0.298,0.993,0.802,0.105,0.465,76.466,"['relief', 'happiness', 'love']"
27,잊었던 용기,Zmi,Tamayura,6D1oM53Za4jzNEJ1NAcmfZ,Zmi,0.584,0.00523,1.0,-26.655,1.0,0.0941,0.987,0.771,0.0603,0.352,114.1,"['relief', 'happiness', 'love']"
28,잊었던 용기,Hideyuki Hashimoto,asa,48Jivh6jAj87eK6lj3FtUo,Hideyuki Hashimoto,0.445,0.0367,1.0,-31.319,1.0,0.0433,0.991,0.944,0.0896,0.13,75.396,"['relief', 'happiness', 'love']"
29,잊었던 용기,Hideyuki Hashimoto,improvisation - prelude,6KysOR1ueeYL2Z2cDDj4EZ,Hideyuki Hashimoto,0.298,0.191,2.0,-28.253,1.0,0.0475,0.977,0.889,0.108,0.219,72.555,"['relief', 'happiness', 'love']"
30,다른 삶,Tobias Wilden,About Isolation / Ripples,0kijSPgMw8MJ6DTUAg7cTp,Tomas Wilhelm,0.263,0.0778,3.0,-25.687,1.0,0.0544,0.994,0.962,0.0924,0.137,72.535,"['worry', 'empty']"
31,다른 삶,이루마,Passing By,0Djo0n7aIXn4osnK2U5YNH,Yiruma,0.276,0.152,2.0,-20.094,1.0,0.0352,0.99,0.905,0.0676,0.051,80.536,"['worry', 'empty']"
32,다른 삶,Joep Beving,Reflection #2,3PEUNWxaEJwHRK9Q2Jx9Eg,Joep Beving,0.283,0.0176,7.0,-26.003,0.0,0.0389,0.993,0.879,0.107,0.0736,126.558,"['worry', 'empty']"
33,다른 삶,Olafur Arnalds,Only The Winds,5i4FBbWB1J2c6RqZ4msUJ7,Olafur Arnalds,0.486,0.172,4.0,-17.867,0.0,0.0326,0.946,0.949,0.0806,0.0383,116.976,"['worry', 'empty']"
34,다른 삶,Joep Beving,Into the Dark Blue,1ZC21hJb2GASRkaoZvUcCS,Joep Beving,0.324,0.116,7.0,-22.841,0.0,0.0348,0.986,0.926,0.113,0.299,79.487,"['worry', 'empty']"
35,다른 삶,Thomas Newman,Brooks Was Here(쇼생크 탈출 ost)',5FRGTGPZ7uA6JaLAH55PVV,Thomas Newman,0.0808,0.00285,4.0,-41.786,0.0,0.0402,0.984,0.666,0.0736,0.0375,64.48,"['worry', 'empty']"
36,당연한 하루는 없다,Thomas Ades,Colette,2Ran0ZJ57DVKtF8MZcwxFI,Thomas Ades,0.16,0.00783,1.0,-23.233,1.0,0.0475,0.963,0.676,0.139,0.0392,93.624,"['worry', 'relief']"
37,당연한 하루는 없다,김윤아,언젠가는,6Zp1H3TcEITJOrOmepA64b,Kim Yuna,0.466,0.154,10.0,-10.282,1.0,0.036,0.962,0.000117,0.234,0.251,77.934,"['worry', 'relief']"
38,당연한 하루는 없다,오준성,In Memories,5TptH8AKtJHRx21Wa4AX2k,Oh Joon Sung,0.244,0.17,0.0,-14.129,1.0,0.0375,0.97,0.00656,0.137,0.0908,75.75,"['worry', 'relief']"
39,엉망인 채 완전한 축제,Dustin O'Halloran,01 opus 20,7927IbXHiYrlZkAikPsi3X,Dustin O'Halloran,0.427,0.06,5.0,-19.714,0.0,0.0457,0.991,0.938,0.0908,0.0384,135.54,"['sadness', 'empty', 'worry']"
40,엉망인 채 완전한 축제,Chris Zabriskie,The Temperature of the Air on the Bow of the Kaleetan,5CXDqIQkkpzvAihxUu2X7J,Chris Zabriskie,0.325,0.088,10.0,-18.967,0.0,0.0329,0.977,0.907,0.105,0.0368,68.237,"['sadness', 'empty', 'worry']"
41,엉망인 채 완전한 축제,Nils Frahm,Familiar,5Yy0R2CLFPXfrBPLnsI1zN,Nils Frahm,0.616,0.431,3.0,-18.743,0.0,0.0354,0.801,0.955,0.356,0.291,129.992,"['sadness', 'empty', 'worry']"
42,엉망인 채 완전한 축제,Eydis Evensen,Stormasamt Kvold,1XPUfZx0Nhl7Tl1AT2LKos,Eydis Evensen,0.151,0.154,7.0,-20.427,0.0,0.0338,0.864,0.729,0.0914,0.134,80.555,"['sadness', 'empty', 'worry']"
43,엉망인 채 완전한 축제,Eydis Evensen,Brotin,1ByjUtjfHISyPBH1m4uhvT,Eydis Evensen,0.395,0.0465,11.0,-25.504,0.0,0.0383,0.978,0.923,0.0968,0.1,66.808,"['sadness', 'empty', 'worry']"
44,엉망인 채 완전한 축제,Olafur Arnalds,re:member,5RqKo9P4DLA0bVyY70cWkr,Olafur Arnalds,0.583,0.0238,0.0,-32.244,0.0,0.0369,0.994,0.847,0.103,0.426,108.74,"['sadness', 'empty', 'worry']"
45,엉망인 채 완전한 축제,Ola Gjeilo,"Gjeilo: Before Dawn""",5YZHOENY8KssNQObXoMPy3,Ola Gjeilo,0.394,0.00857,0.0,-32.116,1.0,0.0406,0.995,0.919,0.0798,0.036,65.558,"['sadness', 'empty', 'worry']"
46,작은 별이지만 빛나고 있어,Megan Wofford,Uprise,2Ys6Pl9WewP7ubO6kpevWI,Megan Wofford,0.26,0.0312,5.0,-22.242,1.0,0.046,0.995,0.956,0.102,0.334,201.632,"['happiness', 'love']"
47,작은 별이지만 빛나고 있어,Akira Kosemura,Luna,7AZCidWfobiJzWoxPB67gr,Akira Kosemura,0.586,0.0805,8.0,-23.081,0.0,0.0341,0.987,0.943,0.0948,0.213,112.213,"['happiness', 'love']"
48,작은 별이지만 빛나고 있어,Sakamoto Ryuichi,Shining Boy & Little Randy / Hoshininatta Shounen,6tBuLo6bYjq1abJJ53n7KF,Ryuichi Sakamoto,0.493,0.57,2.0,-13.51,1.0,0.0526,0.256,0.939,0.114,0.31,127.928,"['happiness', 'love']"
49,작은 별이지만 빛나고 있어,이루마,River Flows In You,3ETugKZ3CLuwtxuGuENOcX,Various Artists,0.527,0.228,9.0,-17.307,1.0,0.0536,0.961,0.93,0.111,0.0891,133.963,"['happiness', 'love']"
50,작은 별이지만 빛나고 있어,Alfie-Jay Winters,Everyone Rainfalls,2wO1haAFVRv1gBLG6rc0ZX,Alfie-Jay Winters,0.648,0.148,0.0,-19.719,0.0,0.033,0.739,0.834,0.0864,0.0471,115.895,"['happiness', 'love']"
51,작은 별이지만 빛나고 있어,로맨틱브리즈,바다가 보이는 언덕,2WSfAVIn6DVPecE4UO10m6,로맨틱브리즈,0.57,0.0925,3.0,-20.497,1.0,0.0543,0.986,0.934,0.109,0.0785,119.36,"['happiness', 'love']"
52,작은 별이지만 빛나고 있어,Goetz Oestlind,Anthriel : Genesis,4WUVMNkjbO2NkWf3BDE2MP,Goetz Oestlind,0.542,0.01,5.0,-30.652,1.0,0.101,0.996,0.963,0.101,0.536,69.978,"['happiness', 'love']"
53,작은 별이지만 빛나고 있어,:49 Little Fish,위로가 필요한 밤에,0jBxhRIYBsMQlXG0pIuIKs,Little Fish,0.535,0.0545,4.0,-22.318,1.0,0.0562,0.991,0.941,0.136,0.0942,132.528,"['happiness', 'love']"
54,작은 별이지만 빛나고 있어,:15 이루마,Letter (Winter Version),417XrKkdVRB75MosNRPmVh,Yiruma,0.496,0.0569,0.0,-19.186,1.0,0.0695,0.993,0.919,0.143,0.128,133.007,"['happiness', 'love']"
55,작은 별이지만 빛나고 있어,:09 Winter Aid,The Wisp Sings'],008McaJl3WM1UqxxVie9BP,Winter Aid,0.521,0.0889,4.0,-19.457,1.0,0.0506,0.988,0.185,0.0965,0.0478,115.428,"['happiness', 'love']"
56,달러구트 꿈 백화점,Alexandre Desplat,Little Women,4q2x4zs134mVfZSzngdZBG,Alexandre Desplat,0.58,0.112,0.0,-22.32,1.0,0.0379,0.99,0.972,0.105,0.17,136.019,"['enthusiasm', 'happiness']"
57,달러구트 꿈 백화점,RADWIMPS,Date,7A7lxMWZI2Uow7WqWjWGcM,RADWIMPS,0.673,0.119,5.0,-20.274,1.0,0.0656,0.985,0.73,0.114,0.478,123.87,"['enthusiasm', 'happiness']"
58,달러구트 꿈 백화점,Rob Simonsen,Main Title,1dUJRgcJtUxNfTWVEkshUb,Rob Simonsen,0.0626,0.079,6.0,-30.41,0.0,0.0425,0.906,0.931,0.0825,0.0347,65.558,"['enthusiasm', 'happiness']"
59,달러구트 꿈 백화점,Ola Gjeilo,Santa Monica,7jT28bNawgEskE8tDLEBbd,Ola Gjeilo,0.289,0.126,5.0,-31.229,1.0,0.0565,0.996,0.965,0.0833,0.257,106.153,"['enthusiasm', 'happiness']"
60,달러구트 꿈 백화점,:16 이루마,Maybe christmas'],5QIi1Vv5Wyb7Nw1Dz01xS9,Yiruma,0.387,0.159,1.0,-19.106,1.0,0.0477,0.99,0.87,0.0906,0.103,97.176,"['enthusiasm', 'happiness']"
61,어린 왕자,Matija Strnisa,Butterflies,2XSJ7jlpnxpQACwhNo53Aj,Matija Strni?a,0.38,0.00384,1.0,-26.243,1.0,0.0481,0.911,0.978,0.0936,0.048,65.947,"['happiness', 'love', 'fun']"
62,어린 왕자,Ludovico Einaudi,Natural Light,1BncfTJAWxrsxyT9culBrj,Ludovico Einaudi,0.447,0.449,2.0,-10.634,1.0,0.0376,0.934,0.961,0.0697,0.036,92.468,"['happiness', 'love', 'fun']"
63,어린 왕자,Million Eyes,The Mercy of the Wind,59EPbYaZgU4qrQy1OwwhKt,Million Eyes,0.467,0.0539,0.0,-21.715,1.0,0.042,0.985,0.52,0.0947,0.272,66.445,"['happiness', 'love', 'fun']"
64,어린 왕자,Trevor Kowalski,Courage Endures,4YdPWFQ4tpXT98wWmTTV3z,Trevor Kowalski,0.378,0.11,9.0,-16.498,0.0,0.0382,0.986,0.935,0.127,0.0343,120.061,"['happiness', 'love', 'fun']"
65,어린 왕자,Masafumi Komatsu,Mahina,5LL1Sk44nP2aRgXJiRoH3R,Masafumi Komatsu,0.359,0.069,5.0,-22.341,1.0,0.0662,0.996,0.934,0.106,0.0796,73.505,"['happiness', 'love', 'fun']"
66,어린 왕자,Million Eyes,There Will be Rain,1iv1JThcpZlvOIGhIJj99g,Million Eyes,0.889,0.0849,4.0,-21.957,1.0,0.0762,0.974,0.725,0.0961,0.176,115.051,"['happiness', 'love', 'fun']"
67,어린 왕자,Trevor Kowalski,And We Walk After,1sbWKyQsUCtzBlClQWs2Rl,Trevor Kowalski,0.372,0.0506,3.0,-22.288,1.0,0.0388,0.97,0.867,0.0897,0.0589,138.256,"['happiness', 'love', 'fun']"
68,어린 왕자,Akira Kosemura,You,7AZCidWfobiJzWoxPB67gr,Akira Kosemura,0.586,0.0805,8.0,-23.081,0.0,0.0341,0.987,0.943,0.0948,0.213,112.213,"['happiness', 'love', 'fun']"
69,어린 왕자,Nils Frahm,My Friend the Forest,6Rkp6fEsvOTR7YxsW5uNyR,Nils Frahm,0.396,0.0012,3.0,-38.004,0.0,0.0671,0.994,0.944,0.112,0.296,79.932,"['happiness', 'love', 'fun']"
70,어린 왕자,Nils Frahm,About Coming and Leaving,6wfm9juwwokarp3HiI1tg2,Nils Frahm,0.348,0.00533,6.0,-37.7,0.0,0.0415,0.986,0.898,0.108,0.216,103.431,"['happiness', 'love', 'fun']"
