,책제목,artist,song_name,id,spotify_artist
51,작은 별이지만 빛나고 있어,로맨틱브리즈,바다가 보이는 언덕,2WSfAVIn6DVPecE4UO10m6,로맨틱브리즈
52,작은 별이지만 빛나고 있어,Goetz Oestlind,Anthriel : Genesis,7mO7mXYnJTUONDkqEWVFcE,The Wonder Kids
53,작은 별이지만 빛나고 있어,:49 Little Fish,위로가 필요한 밤에,24wFk7pRdGx74fAgpps4fR,Fisher-Price
54,작은 별이지만 빛나고 있어,:15 이루마,Letter (Winter Version),417XrKkdVRB75MosNRPmVh,Yiruma
55,작은 별이지만 빛나고 있어,:09 Winter Aid,The Wisp Sings'],7nDXmx3FuyeX7FI7PFl2iX,Winter Aid
56,달러구트 꿈 백화점,Alexandre Desplat,Little Women,4xui9WfNYFy7DKZfFBzSQA,Alexandre Desplat
57,달러구트 꿈 백화점,RADWIMPS,Date,7A7lxMWZI2Uow7WqWjWGcM,RADWIMPS
58,달러구트 꿈 백화점,Rob Simonsen,Main Title,6Nm8h73ycDG2saCnZV8poF,Rob Zombie
59,달러구트 꿈 백화점,Ola Gjeilo,Santa Monica,37EJtTS7jT5WUyXGZzrwnI,Everclear
60,달러구트 꿈 백화점,:16 이루마,Maybe christmas'],4JYewrsUG5zpV0gTQ2DqJp,Donata Antoni
61,어린 왕자,Matija Strnisa,Butterflies,38nSpCQCOiuwXOfVy07bGj,Johnny Stimson
62,어린 왕자,Ludovico Einaudi,Natural Light,2zM7Ato6xDOi8ten4qn7Cm,Ludovico Einaudi
63,어린 왕자,Million Eyes,The Mercy of the Wind,59EPbYaZgU4qrQy1OwwhKt,Million Eyes
64,어린 왕자,Trevor Kowalski,Courage Endures,2RDoIc5ARgWq4Z4je4waAs,Trevor Kowalski
65,어린 왕자,Masafumi Komatsu,Mahina,2REC7Htb64SNPZdasVbl2b,Swoodeasu
66,어린 왕자,Million Eyes,There Will be Rain,1iv1JThcpZlvOIGhIJj99g,Million Eyes
67,어린 왕자,Trevor Kowalski,And We Walk After,1sbWKyQsUCtzBlClQWs2Rl,Trevor Kowalski
68,어린 왕자,Akira Kosemura,You,7AZCidWfobiJzWoxPB67gr,Akira Kosemura
69,어린 왕자,Nils Frahm,My Friend the Forest,7B0ofCHeQu2FoX7P28ZaPp,Nils Frahm
70,어린 왕자,Nils Frahm,About Coming and Leaving,103AqUGMPmhRUtqb4jYewE,Nils Frahm
71,어린 왕자,Akira Kosemura,Fragile,7AZCidWfobiJzWoxPB67gr,Akira Kosemura
72,어린 왕자,이루마,s t e l l a,7eSSI3CStPIKDt8am8b0Fd,Yiruma
73,어린 왕자,Matija Strnisa,Everyone is here'],7dznJxMPMND18pTEmJ67hM,Matija Strniša
74,데미안,Erik Satie,Gymnopedie No. 3,0hZBK2IS2uKdWVwEWXX1vB,Erik Satie
75,데미안,Joep Beving,Wanderlust,7oJBVDLBCLZp62hVGMJNlX,Joep Beving
