,책제목,artist,song_name,id,spotify_artist,O
49,어른을 위한 인생 수업  류쉬안,김지수,Mokpo of Old Memory(우리들의 블루스 ost),5BKRpouE6rMJiSIa3rlUGu,Kim Hyunshik,X
50,어른을 위한 인생 수업  류쉬안,김윤아,어린왕자,23yPZ4KHxFhotRk1ykyZIK,김윤진 Kim Yun Jin,X
51,어른을 위한 인생 수업  류쉬안,정동환,그 밤,7G1OltxbhpBYGIlAx7chiY,Yoon Do Hyun,X
52,어른을 위한 인생 수업  류쉬안,이남연,Warmhearted,3qvnPJQgq7OdcKthG1p6cV,Kim Haewon,X
53,어른을 위한 인생 수업  류쉬안,:50 The Moon Song (Film Version),Scarlett Johansson',2NUzv15ucZbgMrzu6AwBNx,Scarlett Johansson,X
54,당신의 마음에 이름을 붙인다면,Frank Glazer,Sonatine Bureaucratique (콜미바이유어네임 ost),42PgUkn2nuXD8B9YtpcfjA,Flaccid Genitals,X
55,당신의 마음에 이름을 붙인다면,Szervanszky & Cavaye,Le jardin feerique from Ma mere l'Oye,3F3J5UND5sXaHZX7Efolcc,Valeria Szervanszky,X
56,당신의 마음에 이름을 붙인다면,MWV U78 (Piano,Michael Endres),58qooOuHq4TQu3wLEA8Ihv,Carl Maria von Weber,X
57,당신의 마음에 이름을 붙인다면,TH 135,6. June: Barcarolle (Piano - Vladimir Ashkenazy),675uoOAtz3TzuigX3Doe4h,Pyotr Ilyich Tchaikovsky,X
58,당신의 마음에 이름을 붙인다면,TH 135,10. October Autumn's Song (Piano - Vladimir Ashkenazy),0Qy7RTQeZGuWdunxjAE8ud,Frederic Chopin,X
59,당신의 마음에 이름을 붙인다면,Alessio Bax,“Zion hort die Wachter singen” (콜미바이유어네임 ost),4Z3VIu0oYzM45D1e0BlnTE,Johann Sebastian Bach,X
60,당신의 마음에 이름을 붙인다면,Kathryn Stott,The Swan,1p2KclGv8c1qKPoRq4exKd,Camille Saint-Saens,X
61,당신의 마음에 이름을 붙인다면,Debussy,"Clair De Lune (Piano 조성진)""",3aflqY3isjShFUHoiS1QbR,Claude Debussy,X
62, 쓸데없는 짓이 어디 있나요,Ryuichi Sakamoto,leta,66hacKPqwClRgpSmWDWhBx,Ryuichi Sakamoto,O
63, 쓸데없는 짓이 어디 있나요,전진희,Breathing in April,4hryahlO8NpCmOpQv2Ng4C,Jeon Jin Hee,O
64, 쓸데없는 짓이 어디 있나요,정수민,통감(feat.진수영),1J0NAemu98Bg5y39sqqfMI,Sung Si Kyung,X
65, 쓸데없는 짓이 어디 있나요,윤한,바람의 왈츠,6aIyFDkZ5PDA7knzWlGVCl,Yoon Han,O
66, 쓸데없는 짓이 어디 있나요,진수영,많은 날들이,52Jmotax4FBamKmv0Td8DH,Byun Jin-Sub,X
67, 쓸데없는 짓이 어디 있나요,Hideyuki Hashimoto,ki,48Jivh6jAj87eK6lj3FtUo,Hideyuki Hashimoto,O
68, 쓸데없는 짓이 어디 있나요,윤한,Lake Lucerne,3pSrGfEJBzwDAo5D7eQpO8,Han Woongjae,X
69, 쓸데없는 짓이 어디 있나요,Hideyuki Hashimoto,Izumi - improvisation - tree,48Jivh6jAj87eK6lj3FtUo,Hideyuki Hashimoto,O
70, 쓸데없는 짓이 어디 있나요,Haruka nakamura,World’s end Rhapsody,7BBZGDSZbsb4Esi8YB94HT,Nujabes,X
71, 쓸데없는 짓이 어디 있나요,정수민,회상,,,X
72, 쓸데없는 짓이 어디 있나요,Ryuichi Sakamoto,Parolibre,66hacKPqwClRgpSmWDWhBx,Ryuichi Sakamoto,O
73, 쓸데없는 짓이 어디 있나요,진수영,서로 말하지 않아도,6fa5WDUs5Bewt6JpYioYFI,Jung Joon Young,X
74, 쓸데없는 짓이 어디 있나요,Hideyuki Hashimoto,Odoriko,48Jivh6jAj87eK6lj3FtUo,Hideyuki Hashimoto,O
75, 쓸데없는 짓이 어디 있나요,루시드폴,눈 오는 날의 동화'],2bh7CwpS8enLBMuk2p8pHG,달콤한꿈,X
76,스키터,이준오,나만의 작은 숲 (리틀포레스트 ost),1plxVCiD3Qw2IWDq3EFuYI,Lee Jun Hyung,X
