,책제목,artist,song_name,id,spotify_artist,O
218,달러구트 꿈 백화점,Ola Gjeilo,Santa Monica,7jT28bNawgEskE8tDLEBbd,Ola Gjeilo,O
219,달러구트 꿈 백화점,:16 이루마,Maybe christmas'],5QIi1Vv5Wyb7Nw1Dz01xS9,Yiruma,O
220,어린 왕자,Matija Strnisa,Tender Loneliness,2HZxx9BjmtuvKtg2py0QYS,Sasha Zimmerman,X
221,어린 왕자,Matija Strnisa,Butterflies,2XSJ7jlpnxpQACwhNo53Aj,Matija Strni?a,O
222,어린 왕자,Ludovico Einaudi,Natural Light,1BncfTJAWxrsxyT9culBrj,Ludovico Einaudi,O
223,어린 왕자,Million Eyes,The Mercy of the Wind,59EPbYaZgU4qrQy1OwwhKt,Million Eyes,O
224,어린 왕자,Trevor Kowalski,Courage Endures,4YdPWFQ4tpXT98wWmTTV3z,Trevor Kowalski,O
225,어린 왕자,Aidan Clare,Caterpillar In a Mol for Piano,49ra2TlFvq7TAxTpijuPYv,Slumbering Tapes,X
226,어린 왕자,이은주,사랑스런 추억,5xtATcLzRFvpEAWlKcKivO,황치훈,X
227,어린 왕자,Masafumi Komatsu,Mahina,5LL1Sk44nP2aRgXJiRoH3R,Masafumi Komatsu,O
228,어린 왕자,Masafumi Komatsu,reflection,5Zf25eS8E1znm9mez4cGsm,Toshifumi Hinata,X
229,어린 왕자,Million Eyes,There Will be Rain,1iv1JThcpZlvOIGhIJj99g,Million Eyes,O
230,어린 왕자,Trevor Kowalski,And We Walk After,1sbWKyQsUCtzBlClQWs2Rl,Trevor Kowalski,O
231,어린 왕자,Akira Kosemura,You,7AZCidWfobiJzWoxPB67gr,Akira Kosemura,O
232,어린 왕자,Nils Frahm,My Friend the Forest,6Rkp6fEsvOTR7YxsW5uNyR,Nils Frahm,O
233,어린 왕자,Nils Frahm,About Coming and Leaving,6wfm9juwwokarp3HiI1tg2,Nils Frahm,O
234,어린 왕자,Akira Kosemura,Fragile,7AZCidWfobiJzWoxPB67gr,Akira Kosemura,O
235,어린 왕자,이루마,s t e l l a,3mWfaQkxgPGYttNeGHtuRc,Yiruma,O
236,어린 왕자,Matija Strnisa,Everyone is here'],2t565w9bXEGw916xypIUYq,Matija Strni?a,O
237,데미안,Erik Satie,Gymnopedie No. 3,4b1ZzDtdGeDpXaPw4DViZ8,Erik Satie,O
238,데미안,Joep Beving,Wanderlust,7oJBVDLBCLZp62hVGMJNlX,Joep Beving,O
239,데미안,Luke Howard,Nocturne,6XTKYGyydndSUV3OHHDwZU,Luke Howard,O
240,데미안,Lambert,Sleeping Dogs,4WIi4iFr7nIdNYW5lNbe1T,Lambert,O
241,데미안,RIOPY,Tree of Light - A Call to Arms,6gE9ia6ayDUkHwoUzZVYVQ,RIOPY,O
242,데미안,GREGOR PIATIGORSKY,Song of India (Rimsky-Korsakov),4WZYJEbNMByuhmHyaxAu3S,Nikolai Rimsky-Korsakov,X
243,데미안,Alice Sara Ott,Piano Sonata No.3: Largo,1cmigB9I6IRpFqjIbzvSQB,Claude Debussy,X
244,데미안,Ren Ford,Earnestly Yours,5Z53G1yccd3tddrpiG9IpN,Keaton Henson,X
245,데미안,Dustin O'Halloran,Quartet No.3,1PhI1qNh5IRyLsKTxsfG0u,Gustav Mahler,X
246,데미안,Dustin O'Halloran,We Move Lightly,2gACae9pFwgAFKnVxteQv4,Dustin O'Halloran,O
247,데미안,Olafur Arnalds,Near Light,6Xajr512QEGAZ20bqAWkyT,Olafur Arnalds,O
248,데미안,Olafur Arnalds,nyepi (string quartet version),1tje9Dg1QNU4KJo5wfjags,Olafur Arnalds,O
249,데미안,Ren Ford,Impromptu On A Theme From Six,1oKOIu35J9znIA7JbtVlTK,Jacob Hall,X
250,데미안,Nils Frahm,Over There,7agPIlFzTpgKnqyxUVt7aM,Nils Frahm,O
251,데미안,Maurice Ravel,Pavane pour une infante defunte(죽은 왕녀를 위한 파반느),3MRQn2RYo2VLYMoStnLRxu,Maurice Ravel,O
252,이방인,Ludovico Einaudi,Einaudi : Elegy For The Arctic,4MvqWzm7BDfHKkms39axnn,Ludovico Einaudi,O
253,이방인,Joep Beving,Sonderling,0gLde9WgWC67ivjMdkv8YU,Dalal,X
254,이방인,Ludovico Einaudi,Andare,5U87k9mIyu2sGQppcqV4Dw,Ludovico Einaudi,O
255,이방인,Claude Debussy,Ballade,3sWbPGkJwBEB7JFgFzMPci,Claude Debussy,O
256,이방인,Vikingur Olafsson,Rameau,1G3QPQkoXvpChjNUhd6Tfs,Jean-Philippe Rameau,X
257,이방인,Mari Samuelsen,Mercy,0RpkVigRs7isnjAaK6WOdQ,Max Richter,X
258,이방인,Lambert,Awake,4gFnOcArAjAx0wqadjtzsq,Lambert,O
259,이방인,Lambert,The Dance,6aQc204iPMcfjuozE4Zn3P,Dan Lambert,O
260,이방인,Ola Gjeilo,Before Dawn,6k5iJy3uIEhaqZu9MCGCiq,Ola Gjeilo,O
261,이방인,David Foster,Love,15sEH4pLkxoQwlOYM4HEFW,David Foster,O
262,이방인,Music Lab Collective,Wiseman : Quiet Room,4u91K1WDKhzLLg8QJsQlor,Music Lab Strings,O
263,이방인,Olafur Arnalds,Saudade (When We Are Born),1ijwLR1iybtxaUbasUj7kJ,Olafur Arnalds,O
264,이방인,:24 Lambert,Balcony Hotel (From 'Miss'),1ugTSkllKG0YdiPaOEPa0z,Lambert,O
265,이방인,:13 Olafur Arnalds,nyepi,5RqKo9P4DLA0bVyY70cWkr,Olafur Arnalds,O
266,이방인,:28 Max richter,"On The Nature Of Daylight""]",56oReVXIfUO9xkX7pHmEU0,Max Richter,O
267,인간실격,조영욱,상현의 기도 (박쥐 ost),6KPmAzfGHR1D8Zm5YSJ4yC,Cho Young Wook,O
268,인간실격,The Soundtrackings,매초롬한 미인 (아가씨 ost),5SqEWwdYt55W8Tz7j8WtwQ,SEUNGKWAN,X
269,인간실격,The Soundtrackings,태어나지 않았으면 좋았을 텐데 (아가씨 ost),4cqshpJpW1jyyvJOeTHOiC,Standing Egg,X
270,인간실격,Ryuichi Sakamoto,POPPOYA (piano Version),66hacKPqwClRgpSmWDWhBx,Ryuichi Sakamoto,O
271,인간실격,모그,Soohyun's Theme Ver.2 (악마를 보았다 ost),4Pty5kAaFSjQk2a5cLLpqK,Ha Hyun Sang,X
272,인간실격,모그,Soohyun's Theme (악마를 보았다 ost),5SqEWwdYt55W8Tz7j8WtwQ,SEUNGKWAN,X
273,인간실격,모그,I Saw the Devil Piano Ver.2 (악마를 보았다 ost),0B1zVsLqmV9ibIFdNS5tGs,Todd Rundgren,X
274,인간실격,모그,I Saw the Devil Piano (악마를 보았다 ost),4eml6JKI3m5nkuRtoAPWUP,MDP,X
275,인간실격,조영욱,제니의 자장가 (Another Take,47LuCAxcS4ArKbIX9XqXeM,Cho Young Wook,O
276,인간실격,조영욱,편지 (친절한 금자씨 ost),71zgzDWBaSpFZuflwRfVJD,Cho Young Wook,O
277,인간실격,이병우,숲은 알고 있다 (장화홍련 ost),1XrfEfQj3x4XfIM1nxMJJW,이정현,X
278,인간실격,S.A. Karl,Aldebaran,7BbUNLqsUWQAM0QUNoFZWs,S.A. Karl,O
279,인간실격,연리목,흘러가다 (은교 ost),0F8VPFPd53OxPYiINjc9bF,황치훈,X
280,인간실격,Abel Korzeniowski,"Table For Two""",20vEB3It4xYzKHlMecu6X1,Abel Korzeniowski,O
281,분노의 질주,Flo Rider,whistle,3bC1ahPIYt1btJzSSEyyrF,Flo Rida,X
282,분노의 질주,"Kid lnk,Tyga, wale,YG, Rich homie Quan",Ride out,59PL9AwYjIrIpP04n9gmMR,Kid Ink,O
283,분노의 질주,Wiz Khalifa & lggy Azalea,Go Hard or Go home,2QJnTfMpNG05KFf2E3gVIJ,Wiz Khalifa,O
284,분노의 질주,Flo Rida,GDFR (remix),26rdOwwjC2UnweK3xeS58u,Flo Rida,O
285,헝거 게임,Jennifer Lawrence,Deep In The Meadow,2hgmZiJQLjpzkkD93Nne8d,James Newton Howard,X
286,헝거 게임,Taylor Swift,Safe & Sound,6Z8R6UsFuGXGtiIxiD8ISb,Capital Cities,X
287,헝거 게임,Sia,elastic heart,0udoMICxzaUbNUT8EVRq8B,Sia,O
288,반지의 제왕,Howard Shore,Evenstar,1TQKEwq4y9SkNciJuisE1m,Howard Shore,O
289,반지의 제왕,Billy boyd,Edge Of Night,5z89FzQzTQOwSJFlMp6UFd,Howard Shore,X
290,토이스토리,Randy Newman,You've Got a Friend in Me,2stkLJ0JNcXkIRDNF3ld6c,Randy Newman,O
291,쿵푸 팬더,Cee-Lo Green,Kung Fu Fighting,7eGAQnxbIHHFtS1p9rmAZ0,CeeLo Green,O
292,테이큰,Ghinzu,The Dragster Wave,3w0AsliIPXqqstBSfQ8Rym,Ghinzu,O
293,아메리칸 뷰티,Thomas Newman,Any Other Name,33B1XmfncHqnfkrYZIcHbD,Thomas Newman,O
294,아메리칸 뷰티,Gomez,We Haven't Turned Around,0jONzUJvInw2qqyOEGDbzE,Gomez,O
295,로스트 인 트랜스레이션,Squarepusher,Tommib,5rzEX5tCbOSCzoH92dbExL,Squarepusher,O
296,로스트 인 트랜스레이션,Kevin Shields,Ikebana,1PPFlpZZXfGCDANeUaoZYe,Kevin Sherwood,O
297,로스트 인 트랜스 레이션,AIR,Alone in Kyoto,4TT9902mhftdlIDaz31Yz7,Aer,O
