,id,url,Artist,PC1,PC2,PC3,clust
12453,4qn6jkjHQpOu5PSr3y5dFQ,https://open.spotify.com/track/4qn6jkjHQpOu5PSr3y5dFQ,Lazza,-0.443661687,-0.046558417,-0.451707505,1
12458,4hq2rSLk6N9aRQMEH3DsH9,https://open.spotify.com/track/4hq2rSLk6N9aRQMEH3DsH9,Lazza,-0.374102846,-0.107196284,-0.0124942,1
12469,5uKHTLXNcftXtYfU7j9cQ6,https://open.spotify.com/track/5uKHTLXNcftXtYfU7j9cQ6,Tory Lanez,-0.408669974,0.110169469,-0.054542711,1
12484,2Hyaggl5zUVCwGSbJmkOs3,https://open.spotify.com/track/2Hyaggl5zUVCwGSbJmkOs3,Lucky Daye,-0.369931966,-0.391846464,-0.461853751,1
12485,7nGnc4hif6ErrFrvjVuht2,https://open.spotify.com/track/7nGnc4hif6ErrFrvjVuht2,Lucky Daye,-0.390798922,-0.136479287,-0.250926505,1
12488,6qcnJmzaELWMtEGfULCI8n,https://open.spotify.com/track/6qcnJmzaELWMtEGfULCI8n,Lucky Daye,-0.406269996,-0.078718916,-0.265899604,1
12496,63UOF7PfgllWoBquRnNI9k,https://open.spotify.com/track/63UOF7PfgllWoBquRnNI9k,Lucky Daye,-0.423591586,-0.172890987,-0.456748811,1
12497,7fXbnwomPX7IoSQODCZDd5,https://open.spotify.com/track/7fXbnwomPX7IoSQODCZDd5,Lucky Daye,-0.406607212,-0.100860421,-0.251683638,1
12498,7uB6KGAyiz2fNmsYY2NdsX,https://open.spotify.com/track/7uB6KGAyiz2fNmsYY2NdsX,Lucky Daye,-0.459424907,0.11663937,-0.232892054,1
12501,6dVgCHMZrWG0tQ4HPeu4aw,https://open.spotify.com/track/6dVgCHMZrWG0tQ4HPeu4aw,Fred again..,-0.364556215,-0.293406305,-0.300944786,1
12509,60DHrnRAhNJMy4WeEf23NH,https://open.spotify.com/track/60DHrnRAhNJMy4WeEf23NH,La Joaqui,-0.452492335,0.148594876,-0.29921945,1
12511,3VezyVVENyPQ5u2DIJsITb,https://open.spotify.com/track/3VezyVVENyPQ5u2DIJsITb,Tream,-0.3681247,-0.344266284,-0.382180214,1
12516,2XPoBFJvcYSoh2xPdj1Z92,https://open.spotify.com/track/2XPoBFJvcYSoh2xPdj1Z92,LATIN MAFIA,-0.425205512,-0.048070133,-0.356393445,1
12518,6HBRLaSQ7NB8MNlaqzYen1,https://open.spotify.com/track/6HBRLaSQ7NB8MNlaqzYen1,Jordan Davis,-0.365603141,-0.319915126,-0.275316551,1
12519,0MKjeUxPsMyMQTifNOc12w,https://open.spotify.com/track/0MKjeUxPsMyMQTifNOc12w,Karan Aujla,-0.391928061,-0.085720214,-0.095556161,1
12524,3Vmo13MxVRKBszmfK61ONH,https://open.spotify.com/track/3Vmo13MxVRKBszmfK61ONH,Karan Aujla,-0.371139183,-0.330671222,-0.38419851,1
12528,5p9uRbOaI8YwMa9n3QP4BZ,https://open.spotify.com/track/5p9uRbOaI8YwMa9n3QP4BZ,Capo Plaza,-0.338206056,-0.490338054,-0.376717011,1
12531,2oyQBfUUcTvMb0ziJU8Z8u,https://open.spotify.com/track/2oyQBfUUcTvMb0ziJU8Z8u,Capo Plaza,-0.362065373,-0.328511178,-0.307709061,1
12534,5RICUm0Jzmsw9H0tVXQtk1,https://open.spotify.com/track/5RICUm0Jzmsw9H0tVXQtk1,Capo Plaza,-0.391072895,-0.240684,-0.45447662,1
12536,1XpmMe95dk9jh3zuOMpeU2,https://open.spotify.com/track/1XpmMe95dk9jh3zuOMpeU2,Capo Plaza,-0.390706588,-0.32192117,-0.47259364,1
12543,7z8hZD5ayg1RENca2KfCDK,https://open.spotify.com/track/7z8hZD5ayg1RENca2KfCDK,Steve Lacy,-0.462724216,0.133232247,-0.277415459,1
12546,1wynWAVM1KqUQMhytk89rO,https://open.spotify.com/track/1wynWAVM1KqUQMhytk89rO,DJ Rossini ZS,-0.411264485,-0.145303874,-0.455268734,1
12550,6aiY5SUOKG7cIg4IBiqR88,https://open.spotify.com/track/6aiY5SUOKG7cIg4IBiqR88,Zeph,-0.393271187,-0.285292459,-0.43630069,1
12553,2GdHCkeAycTJ1RgMlptaRE,https://open.spotify.com/track/2GdHCkeAycTJ1RgMlptaRE,Black Eyed Peas,-0.405534535,-0.116850921,-0.345442551,1
12555,6Rky4H51h4E35meaMTfJQF,https://open.spotify.com/track/6Rky4H51h4E35meaMTfJQF,Xantesha,-0.357821793,-0.399523313,-0.390348129,1
12558,7AgLmxi5osmwH9dEm1ck4j,https://open.spotify.com/track/7AgLmxi5osmwH9dEm1ck4j,Fireboy DML,-0.459183789,0.022219486,-0.420270103,1
12559,2qWwuCVeMjF9mUT0S5Iqvl,https://open.spotify.com/track/2qWwuCVeMjF9mUT0S5Iqvl,Fireboy DML,-0.426574241,-0.020439873,-0.338753706,1
12561,2AKS1HhpLu2rgkojECUm3V,https://open.spotify.com/track/2AKS1HhpLu2rgkojECUm3V,Fireboy DML,-0.397086369,-0.156282943,-0.231973411,1
12562,3ouP8HFixJmafK7hd1wJ0q,https://open.spotify.com/track/3ouP8HFixJmafK7hd1wJ0q,Fireboy DML,-0.397707457,-0.278749354,-0.444330771,1
12569,4LIOLPc0q8VHa5w7MwvEgI,https://open.spotify.com/track/4LIOLPc0q8VHa5w7MwvEgI,Fireboy DML,-0.38312912,-0.266004436,-0.352996165,1
12571,2WoueELM0ZNpYG3NmxFxHh,https://open.spotify.com/track/2WoueELM0ZNpYG3NmxFxHh,Fireboy DML,-0.415685608,-0.203389643,-0.451618238,1
12591,0AbDjrdgKTXzGzvQ1drgQl,https://open.spotify.com/track/0AbDjrdgKTXzGzvQ1drgQl,Shiva,-0.400845337,-0.117553894,-0.278495759,1
12592,5ovQyVu6iyR1GFXKgkEqxp,https://open.spotify.com/track/5ovQyVu6iyR1GFXKgkEqxp,Shiva,-0.458996371,0.189371272,-0.171534378,1
12599,4RAR8g8fZNB106ezUurnE0,https://open.spotify.com/track/4RAR8g8fZNB106ezUurnE0,Kygo,-0.415002681,-0.166764491,-0.436011645,1
12606,5Yo7HIxl08fak336xjKbjk,https://open.spotify.com/track/5Yo7HIxl08fak336xjKbjk,DJ Khaled,-0.371111977,-0.267482647,-0.288644713,1
12610,5Zw34GTByumSDT4N3J3Ij1,https://open.spotify.com/track/5Zw34GTByumSDT4N3J3Ij1,DJ Khaled,-0.411988028,-0.166865129,-0.385555085,1
12612,7KzVzIGHDXqfdKymBJqLdQ,https://open.spotify.com/track/7KzVzIGHDXqfdKymBJqLdQ,DJ Khaled,-0.369724763,-0.335737452,-0.380017489,1
12621,60YICjIPdL7LDBcCMK0tAk,https://open.spotify.com/track/60YICjIPdL7LDBcCMK0tAk,The Kidd,-0.356193612,-0.358311323,-0.29239098,1
12627,5E9qBEUja2yAjUPhQO8Gx7,https://open.spotify.com/track/5E9qBEUja2yAjUPhQO8Gx7,quannnic,-0.442697278,-0.093522783,-0.366298963,1
12637,3EwTIu5qka2l5ZekB0b6QC,https://open.spotify.com/track/3EwTIu5qka2l5ZekB0b6QC,Wet Leg,-0.409078406,-0.284484943,-0.47371527,1
12638,59AasfokhGnvuaDVUiJqb7,https://open.spotify.com/track/59AasfokhGnvuaDVUiJqb7,Wet Leg,-0.379856772,-0.279216499,-0.285138205,1
12639,260Ub1Yuj4CobdISTOBvM9,https://open.spotify.com/track/260Ub1Yuj4CobdISTOBvM9,Wet Leg,-0.33570384,-0.479204015,-0.287661001,1
12641,0hRJrlZwrnM7Oalx4GLElX,https://open.spotify.com/track/0hRJrlZwrnM7Oalx4GLElX,Wet Leg,-0.395384421,-0.167670098,-0.273368146,1
12642,4ug5wsIcbAPBun8TCKn2t6,https://open.spotify.com/track/4ug5wsIcbAPBun8TCKn2t6,Wet Leg,-0.335129191,-0.353723808,-0.111776228,1
12643,2ox1FrJXA1KG29I0hsDlxI,https://open.spotify.com/track/2ox1FrJXA1KG29I0hsDlxI,Wet Leg,-0.314720855,-0.493809266,-0.113595803,1
12644,6PGNpgfoGIpfZVJFHdK7bV,https://open.spotify.com/track/6PGNpgfoGIpfZVJFHdK7bV,Wet Leg,-0.396230168,-0.285533891,-0.460786511,1
12645,0sJRunSEW5Y5B3smVMUbkW,https://open.spotify.com/track/0sJRunSEW5Y5B3smVMUbkW,Wet Leg,-0.350657847,-0.344378737,-0.104956578,1
12649,6Qe7YCkIOc1iaw9HKqO3qV,https://open.spotify.com/track/6Qe7YCkIOc1iaw9HKqO3qV,Soolking,-0.420389534,-0.115444983,-0.430812746,1
12651,5guMskriHnlsMP6cpvU2pG,https://open.spotify.com/track/5guMskriHnlsMP6cpvU2pG,Soolking,-0.391802739,-0.135820978,-0.273401239,1
12660,4H5FvHei1muDse6zfXjBY1,https://open.spotify.com/track/4H5FvHei1muDse6zfXjBY1,Soolking,-0.38363173,-0.203024778,-0.374850615,1
12663,38ROi04u2h9V2XZlK9VKa3,https://open.spotify.com/track/38ROi04u2h9V2XZlK9VKa3,Soolking,-0.444883745,0.099919409,-0.320361576,1
12664,38jxYZqx9j8lFw24TUWxFc,https://open.spotify.com/track/38jxYZqx9j8lFw24TUWxFc,Soolking,-0.412045844,-0.192348187,-0.443516968,1
12677,43YygFKMtTJVQQHvkpQJuu,https://open.spotify.com/track/43YygFKMtTJVQQHvkpQJuu,Maria Becerra,-0.40227429,-0.250359337,-0.448702656,1
12686,3GeHiAXfCGPjr3AIZ6Lj0s,https://open.spotify.com/track/3GeHiAXfCGPjr3AIZ6Lj0s,Tyler Childers,-0.418364704,-0.220651435,-0.43974438,1
12695,3r7khCfJmMgIQUdlMfuiSu,https://open.spotify.com/track/3r7khCfJmMgIQUdlMfuiSu,Tyler Childers,-0.409188064,-0.234801273,-0.44693449,1
12697,2JX4tKvQVGXPaJJVZ2o8Zm,https://open.spotify.com/track/2JX4tKvQVGXPaJJVZ2o8Zm,Tyler Childers,-0.466198747,0.15386902,-0.221265137,1
12700,2TlGeIFAc0MnlMpUXbRlXV,https://open.spotify.com/track/2TlGeIFAc0MnlMpUXbRlXV,Tyler Childers,-0.442516162,0.153737447,-0.131907591,1
12702,1juH3Rs4NTWCAZRRflgnRj,https://open.spotify.com/track/1juH3Rs4NTWCAZRRflgnRj,Tyler Childers,-0.35493662,-0.347401149,-0.199818437,1
12705,5R4olFQHQNRQXmyRNeJTRI,https://open.spotify.com/track/5R4olFQHQNRQXmyRNeJTRI,Tyler Childers,-0.451129469,0.148673605,-0.218249683,1
12706,5Dti7iq6pCkblbEbf1nu7V,https://open.spotify.com/track/5Dti7iq6pCkblbEbf1nu7V,Tyler Childers,-0.480680516,0.229194817,-0.276668879,1
12709,3vvNycHphIEXaIdOB4wIbZ,https://open.spotify.com/track/3vvNycHphIEXaIdOB4wIbZ,alt!,-0.36522771,-0.4561439,-0.382528921,1
12713,10y76UPiv2GXaAAuGASHLf,https://open.spotify.com/track/10y76UPiv2GXaAAuGASHLf,Macaroni Empitsu,-0.351620928,-0.320429603,-0.105381957,1
12715,7a7lvYsKBCsZfuMfVsn5tw,https://open.spotify.com/track/7a7lvYsKBCsZfuMfVsn5tw,Macaroni Empitsu,-0.332719504,-0.39492558,-0.096157234,1
12716,2ZwuYASDCCauXmgs1xpho2,https://open.spotify.com/track/2ZwuYASDCCauXmgs1xpho2,Macaroni Empitsu,-0.403219568,-0.196812781,-0.349699602,1
12717,0ddbXUxKVScdcSCcPeVVqm,https://open.spotify.com/track/0ddbXUxKVScdcSCcPeVVqm,Macaroni Empitsu,-0.365267964,-0.337197195,-0.282411682,1
12720,1OCPaGOQWsPMsAnSxs8aoW,https://open.spotify.com/track/1OCPaGOQWsPMsAnSxs8aoW,Macaroni Empitsu,-0.362222015,-0.409211988,-0.379219455,1
12724,5W7Y92LB4jWvu9NeEQ0GZl,https://open.spotify.com/track/5W7Y92LB4jWvu9NeEQ0GZl,Macaroni Empitsu,-0.378044232,-0.133434498,-0.063994561,1
12725,6XpFW6xRWMaVkpg5BVD4yI,https://open.spotify.com/track/6XpFW6xRWMaVkpg5BVD4yI,Macaroni Empitsu,-0.378501507,-0.258990293,-0.282629251,1
12731,2bPI4TKM4oTxl2SijUXM2J,https://open.spotify.com/track/2bPI4TKM4oTxl2SijUXM2J,Lil Durk,-0.380134575,-0.289289864,-0.378607762,1
12733,4UO8Ywh6dKZVJZ9iUofEhD,https://open.spotify.com/track/4UO8Ywh6dKZVJZ9iUofEhD,Lil Durk,-0.376577044,-0.191833005,-0.290370279,1
