,id,url,Artist,PC1,PC2,PC3,clust
5,7i5pytF8KaId51lIzatwdg,https://open.spotify.com/track/7i5pytF8KaId51lIzatwdg,Fujii Kaze,0.755436299,-0.312840388,0.373133071,0
6,7r9v0CLTunOwlbvdOFFgZo,https://open.spotify.com/track/7r9v0CLTunOwlbvdOFFgZo,Fujii Kaze,0.756719646,-0.363578286,0.377487654,0
7,74Zrps4gc3qTF49oKpm6zF,https://open.spotify.com/track/74Zrps4gc3qTF49oKpm6zF,Fujii Kaze,0.683760859,-0.095191241,0.203747973,0
9,0o9zmvc5f3EFApU52PPIyW,https://open.spotify.com/track/0o9zmvc5f3EFApU52PPIyW,Fujii Kaze,0.641342161,-0.071515139,-0.050905022,0
13,1KixkQVDUHggZMU9dUobgm,https://open.spotify.com/track/1KixkQVDUHggZMU9dUobgm,Ava Max,0.709198453,-0.212413543,0.189808511,0
14,2Gz6CxFe1GGiRRb8zFJHRv,https://open.spotify.com/track/2Gz6CxFe1GGiRRb8zFJHRv,Ava Max,0.663687906,0.034275772,0.244720669,0
18,11OPriDpmUrTMTji52ta17,https://open.spotify.com/track/11OPriDpmUrTMTji52ta17,Ava Max,0.739549114,-0.356618361,0.202076362,0
34,2ufmtcIFdFpuUYBPXK5f67,https://open.spotify.com/track/2ufmtcIFdFpuUYBPXK5f67,Halsey,0.673320611,0.136491014,0.407436827,0
41,42SOtYBdnfj9zEdZSlAq5k,https://open.spotify.com/track/42SOtYBdnfj9zEdZSlAq5k,Halsey,0.65542257,0.062668633,0.205989349,0
50,40rOlDoGejXXF4B0BYsjx8,https://open.spotify.com/track/40rOlDoGejXXF4B0BYsjx8,Glass Animals,0.720610383,-0.225448726,0.212041837,0
55,2MA6YoaFF7fnWqkuOAWjUg,https://open.spotify.com/track/2MA6YoaFF7fnWqkuOAWjUg,Glass Animals,0.648733449,0.060686254,0.135335373,0
58,7s0FCUlKnSFjFPzcIJmkwo,https://open.spotify.com/track/7s0FCUlKnSFjFPzcIJmkwo,Glass Animals,0.682829868,0.062768832,0.40585848,0
65,3hxIUxnT27p5WcmjGUXNwx,https://open.spotify.com/track/3hxIUxnT27p5WcmjGUXNwx,Hotel Ugly,0.615510604,0.273202082,0.263317001,0
74,4txKMpsSfZRV6durPuHVq0,https://open.spotify.com/track/4txKMpsSfZRV6durPuHVq0,Playboi Carti,0.706459888,-0.074752687,0.274958243,0
78,7ejepEh5DJ79YI6owGRfkk,https://open.spotify.com/track/7ejepEh5DJ79YI6owGRfkk,Playboi Carti,0.713965363,-0.385281826,-0.075834196,0
80,5fSZXFOZfPVW9gvnnG4ZVW,https://open.spotify.com/track/5fSZXFOZfPVW9gvnnG4ZVW,Playboi Carti,0.678203741,0.088573099,0.292265042,0
82,2iqHcRoOfLl1fXCf1bGO0J,https://open.spotify.com/track/2iqHcRoOfLl1fXCf1bGO0J,Playboi Carti,0.699593565,-0.184488693,0.094134934,0
85,08dz3ygXyFur6bL7Au8u8J,https://open.spotify.com/track/08dz3ygXyFur6bL7Au8u8J,Playboi Carti,0.677159039,-0.184012184,0.00584529,0
91,1AVtceapuF36oZqI9gzp0o,https://open.spotify.com/track/1AVtceapuF36oZqI9gzp0o,Dua Lipa,0.765751046,-0.338023805,0.363027454,0
94,1dI77VhaLcQSgQLSnIs03D,https://open.spotify.com/track/1dI77VhaLcQSgQLSnIs03D,Dua Lipa,0.703006303,-0.367158905,-0.072917813,0
96,2MUKw7zEirXqdZZ3xC4hOf,https://open.spotify.com/track/2MUKw7zEirXqdZZ3xC4hOf,Dua Lipa,0.724231676,-0.209297822,0.288711097,0
97,1imMjt1YGNebtrtTAprKV7,https://open.spotify.com/track/1imMjt1YGNebtrtTAprKV7,Dua Lipa,0.728562113,-0.176242743,0.373059325,0
101,5nujrmhLynf4yMoMtj8AQF,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF,Dua Lipa,0.703330895,-0.365157533,-0.075879957,0
105,5GkQIP5mWPi4KZLLXeuFTT,https://open.spotify.com/track/5GkQIP5mWPi4KZLLXeuFTT,Ariana Grande,0.736356837,-0.252927267,0.28635772,0
112,1whfVLMKWqAX3uk97VXsNN,https://open.spotify.com/track/1whfVLMKWqAX3uk97VXsNN,Ariana Grande,0.698798965,0.031936964,0.411381481,0
113,6NYtLvyThMT0oALFdJFdzq,https://open.spotify.com/track/6NYtLvyThMT0oALFdJFdzq,Ariana Grande,0.711486925,-0.114252245,0.296247301,0
139,6bnF93Rx87YqUBLSgjiMU8,https://open.spotify.com/track/6bnF93Rx87YqUBLSgjiMU8,The Weeknd,0.698101052,-0.10472764,0.281214793,0
142,7szuecWAPwGoV1e5vGu8tl,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl,The Weeknd,0.691116304,-0.243630023,0.018509405,0
148,3PfIrDoz19wz7qK7tYeu62,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62,Dua Lipa,0.765751046,-0.338023805,0.363027454,0
151,39LLxExYz6ewLAcYrzQQyP,https://open.spotify.com/track/39LLxExYz6ewLAcYrzQQyP,Dua Lipa,0.703006303,-0.367158905,-0.072917813,0
153,1nYeVF5vIBxMxfPoL0SIWg,https://open.spotify.com/track/1nYeVF5vIBxMxfPoL0SIWg,Dua Lipa,0.724231676,-0.209297822,0.288711097,0
154,4rPkN1FMzQyFNP9cLUGIIB,https://open.spotify.com/track/4rPkN1FMzQyFNP9cLUGIIB,Dua Lipa,0.728562113,-0.176242743,0.373059325,0
164,6tDDoYIxWvMLTdKpjFkc1B,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B,Kali Uchis,0.705277469,-0.041501858,0.40148401,0
169,4a1s8jkTbAoTlvj6x8pHK6,https://open.spotify.com/track/4a1s8jkTbAoTlvj6x8pHK6,Kali Uchis,0.715629696,-0.087118428,0.394193897,0
176,7Dj2wqPYXfSRFwa6qyOztr,https://open.spotify.com/track/7Dj2wqPYXfSRFwa6qyOztr,Eminem,0.736604084,-0.242005173,0.280986816,0
177,7FIWs0pqAYbP91WWM0vlTQ,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ,Eminem,0.751989415,-0.300135384,0.291561529,0
185,4qNWEOMyexn7b8Icyk29t9,https://open.spotify.com/track/4qNWEOMyexn7b8Icyk29t9,Eminem,0.761351859,-0.369093734,0.272583322,0
186,1qwMkkRiD5jqLeUUjfgblh,https://open.spotify.com/track/1qwMkkRiD5jqLeUUjfgblh,Eminem,0.675705053,-0.169617678,-0.074493938,0
192,5SWnsxjhdcEDc7LJjq9UHk,https://open.spotify.com/track/5SWnsxjhdcEDc7LJjq9UHk,21 Savage,0.723877192,-0.165370488,0.276590434,0
193,6pcywuOeGGWeOQzdUyti6k,https://open.spotify.com/track/6pcywuOeGGWeOQzdUyti6k,21 Savage,0.718719167,-0.140321049,0.267715207,0
197,3CDVMejYHnB1SkEEx0T1N4,https://open.spotify.com/track/3CDVMejYHnB1SkEEx0T1N4,21 Savage,0.699170737,-0.056422525,0.28000022,0
202,4V9ynsDPwHtdItksqjuRu0,https://open.spotify.com/track/4V9ynsDPwHtdItksqjuRu0,21 Savage,0.737895375,-0.182074863,0.368579438,0
211,3RaT22zZsxVYxxKR7TAaYF,https://open.spotify.com/track/3RaT22zZsxVYxxKR7TAaYF,Taylor Swift,0.604823407,0.211472652,0.088832156,0
233,4OGIeHtYhRTJ8iW21UUyZW,https://open.spotify.com/track/4OGIeHtYhRTJ8iW21UUyZW,Pop Smoke,0.679901798,0.040922645,0.343027493,0
243,1JDhNQ0oOT7XpclZn3aQ8F,https://open.spotify.com/track/1JDhNQ0oOT7XpclZn3aQ8F,Pop Smoke,0.746503624,-0.200587387,0.370877025,0
244,3NWrHCwvyII4fTx05PN3IO,https://open.spotify.com/track/3NWrHCwvyII4fTx05PN3IO,Pop Smoke,0.688434202,0.086401276,0.424322339,0
245,5rZlwNFl01HqLWBQGryKSm,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm,Pop Smoke,0.63155622,0.29543018,0.354375819,0
246,5kkaSMcf4BFlhRRICCKZb6,https://open.spotify.com/track/5kkaSMcf4BFlhRRICCKZb6,Pop Smoke,0.650699834,-0.001280203,0.057603994,0
260,2oT0kNNDv94u44BC2NB97z,https://open.spotify.com/track/2oT0kNNDv94u44BC2NB97z,Steve Lacy,0.671189489,-0.040448532,0.032124286,0
262,2uZ6JeQqRFo6vmSiK6dHE9,https://open.spotify.com/track/2uZ6JeQqRFo6vmSiK6dHE9,Steve Lacy,0.597179505,0.207087141,0.028257275,0
265,2mqXKSieDASoq4N5739wCz,https://open.spotify.com/track/2mqXKSieDASoq4N5739wCz,Steve Lacy,0.661820368,0.202012022,0.472258997,0
267,3TciLI5wo7RddPtAFhiU9V,https://open.spotify.com/track/3TciLI5wo7RddPtAFhiU9V,Polo G,0.708178242,-0.110232951,0.289784466,0
270,2QqJTIlGKRLJC3onkavYEz,https://open.spotify.com/track/2QqJTIlGKRLJC3onkavYEz,Polo G,0.711651647,-0.127244498,0.282511735,0
280,4XLCFFvRG1qQ8kT4uzwYZC,https://open.spotify.com/track/4XLCFFvRG1qQ8kT4uzwYZC,Polo G,0.728549549,-0.134385029,0.301540059,0
289,1tMspHbqoGRwHMvwOv44Q2,https://open.spotify.com/track/1tMspHbqoGRwHMvwOv44Q2,The Weeknd,0.697188534,-0.075760782,0.282506909,0
292,2OERkBOaYZw5IYZcJpUMmJ,https://open.spotify.com/track/2OERkBOaYZw5IYZcJpUMmJ,The Weeknd,0.690338687,-0.239913466,0.018277812,0
302,3YeImruYgPnQtn4QgHqi04,https://open.spotify.com/track/3YeImruYgPnQtn4QgHqi04,Anuel AA,0.659013367,0.236940557,0.462619022,0
306,7mcdgAXmb35dakBnfDIv3q,https://open.spotify.com/track/7mcdgAXmb35dakBnfDIv3q,Anuel AA,0.690716324,-0.021303709,0.327116312,0
309,4mbb7hmfDR6M9cQaLdYSFd,https://open.spotify.com/track/4mbb7hmfDR6M9cQaLdYSFd,Anuel AA,0.632687083,0.134471419,0.087801022,0
313,6NfC2FKfsfzuLIF4lThw0A,https://open.spotify.com/track/6NfC2FKfsfzuLIF4lThw0A,Anuel AA,0.698926025,-0.049865251,0.335517182,0
