,id,url,Artist,PC1,PC2,PC3,clust
37,2sOOXgEGB7nhKO8mmc1GhI,https://open.spotify.com/track/2sOOXgEGB7nhKO8mmc1GhI,Halsey,-0.381918972,0.274735985,0.564693982,2
45,3jgHKbpswygyOMipFz06RQ,https://open.spotify.com/track/3jgHKbpswygyOMipFz06RQ,Halsey,-0.397944651,0.441149078,0.633375274,2
47,1ed6Wdjk7gkxI2lIYjAoJ2,https://open.spotify.com/track/1ed6Wdjk7gkxI2lIYjAoJ2,Halsey,-0.405287969,0.414776223,0.488516961,2
48,45bE4HXI0AwGZXfZtMp8JR,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR,Tate McRae,-0.496478922,0.544574251,0.014511028,2
49,2LiDZmGERLzjrtBTCofj2G,https://open.spotify.com/track/2LiDZmGERLzjrtBTCofj2G,Glass Animals,-0.483640194,0.665954142,0.402735716,2
53,1cbAduwGVFsurbwDe57Uho,https://open.spotify.com/track/1cbAduwGVFsurbwDe57Uho,Glass Animals,-0.583738276,0.943913573,0.171658627,2
56,7MAaZgT2QNnITEwOMQq9Ac,https://open.spotify.com/track/7MAaZgT2QNnITEwOMQq9Ac,Glass Animals,-0.528294991,0.728569636,0.057614655,2
63,2FmYw5jOjsj5dHZdWK0vXq,https://open.spotify.com/track/2FmYw5jOjsj5dHZdWK0vXq,Glass Animals,-0.588060106,0.861531056,-0.094003173,2
64,1yOc6FBOVD6zBwOMxiSEEv,https://open.spotify.com/track/1yOc6FBOVD6zBwOMxiSEEv,Glass Animals,-0.550859955,0.769811876,0.048779231,2
103,3ko9jEHNt4O5fjKN65ULJp,https://open.spotify.com/track/3ko9jEHNt4O5fjKN65ULJp,Ariana Grande,-0.52508034,0.386127761,-0.331691673,2
117,0Jlcvv8IykzHaSmj49uNW8,https://open.spotify.com/track/0Jlcvv8IykzHaSmj49uNW8,Taylor Swift,-0.536938737,0.502016103,-0.348805754,2
120,4pvb0WLRcMtbPGmtejJJ6y,https://open.spotify.com/track/4pvb0WLRcMtbPGmtejJJ6y,Taylor Swift,-0.490972946,0.583033824,0.208608366,2
121,1MgV7FIyNxIG7WzMRJV5HC,https://open.spotify.com/track/1MgV7FIyNxIG7WzMRJV5HC,Taylor Swift,-0.583585057,0.687248855,-0.321671446,2
122,0ZNU020wNYvgW84iljPkPP,https://open.spotify.com/track/0ZNU020wNYvgW84iljPkPP,Taylor Swift,-0.499388066,0.398420747,-0.170057123,2
123,6KJqZcs9XDgVck7Lg9QOTC,https://open.spotify.com/track/6KJqZcs9XDgVck7Lg9QOTC,Taylor Swift,-0.485333766,0.481881163,0.033436176,2
124,3hUxzQpSfdDqwM3ZTFQY0K,https://open.spotify.com/track/3hUxzQpSfdDqwM3ZTFQY0K,Taylor Swift,-0.417992444,0.163498576,0.064302572,2
126,2NmsngXHeC1GQ9wWrzhOMf,https://open.spotify.com/track/2NmsngXHeC1GQ9wWrzhOMf,Taylor Swift,-0.407704925,0.467974834,0.575099813,2
128,2QDyYdZyhlP2fp79KZX8Bi,https://open.spotify.com/track/2QDyYdZyhlP2fp79KZX8Bi,Taylor Swift,-0.441804752,0.160852125,-0.1044233,2
129,08fa9LFcFBTcilB3iq2e2A,https://open.spotify.com/track/08fa9LFcFBTcilB3iq2e2A,Taylor Swift,-0.569505426,0.664065469,-0.236947825,2
130,5kI4eCXXzyuIUXjQra0Cxi,https://open.spotify.com/track/5kI4eCXXzyuIUXjQra0Cxi,Taylor Swift,-0.509343979,0.318594787,-0.357895454,2
131,7MbT4I8qGntX4fMdqMQgke,https://open.spotify.com/track/7MbT4I8qGntX4fMdqMQgke,Taylor Swift,-0.489908491,0.584068304,0.132139921,2
132,6MWoRt97mnSTXZhu3ggi9C,https://open.spotify.com/track/6MWoRt97mnSTXZhu3ggi9C,Taylor Swift,-0.455513209,0.611282086,0.414460828,2
174,4EmunTy7kNBYQivOa8F6b8,https://open.spotify.com/track/4EmunTy7kNBYQivOa8F6b8,Eminem,-0.459191586,0.437665198,0.145378365,2
206,0lx2cLdOt3piJbcaXIV74f,https://open.spotify.com/track/0lx2cLdOt3piJbcaXIV74f,Taylor Swift,-0.427208575,0.357487498,0.292303137,2
207,0sY6ZUTh4yoctD8VIXz339,https://open.spotify.com/track/0sY6ZUTh4yoctD8VIXz339,Taylor Swift,-0.583996883,0.687647173,-0.302496741,2
208,5BK0uqwY9DNfZ630STAEaq,https://open.spotify.com/track/5BK0uqwY9DNfZ630STAEaq,Taylor Swift,-0.41639426,0.441649205,0.471524421,2
209,7dW84mWkdWE5a6lFWxJCBG,https://open.spotify.com/track/7dW84mWkdWE5a6lFWxJCBG,Taylor Swift,-0.45773474,0.378902693,0.098824386,2
210,0PurA4JVJ8YQgSVopY8fn6,https://open.spotify.com/track/0PurA4JVJ8YQgSVopY8fn6,Taylor Swift,-0.454628735,0.610318132,0.491050925,2
212,73YUReisjb3A9ActdLLjJQ,https://open.spotify.com/track/73YUReisjb3A9ActdLLjJQ,Taylor Swift,-0.407116514,0.53118883,0.657738473,2
213,670fUmXf4KQekzbEgaXyPA,https://open.spotify.com/track/670fUmXf4KQekzbEgaXyPA,Taylor Swift,-0.461226641,0.337154853,0.001216823,2
214,3k7ne7VmH43ZPWxPdvPUgR,https://open.spotify.com/track/3k7ne7VmH43ZPWxPdvPUgR,Taylor Swift,-0.423504261,0.411666196,0.374255033,2
215,19CSr8rwW05VJL2F91KFNK,https://open.spotify.com/track/19CSr8rwW05VJL2F91KFNK,Taylor Swift,-0.501355289,0.413642617,-0.14970721,2
216,1XjHRolIXL2M1EEOUsGGR4,https://open.spotify.com/track/1XjHRolIXL2M1EEOUsGGR4,Taylor Swift,-0.515947661,0.357396779,-0.343603784,2
218,12ntTeqEeTg7GAVpe8Mhpl,https://open.spotify.com/track/12ntTeqEeTg7GAVpe8Mhpl,Taylor Swift,-0.474712927,0.48178222,0.115331688,2
220,3O5osWf1rSoKMwe6E9ZaXP,https://open.spotify.com/track/3O5osWf1rSoKMwe6E9ZaXP,Taylor Swift,-0.575287658,0.705129356,-0.208788892,2
224,1WVunZLZM2zLTm5rAvKZkF,https://open.spotify.com/track/1WVunZLZM2zLTm5rAvKZkF,Conan Gray,-0.545781696,0.490753386,-0.296006847,2
226,7wTqEW5nrMhvyEhEyTnOMd,https://open.spotify.com/track/7wTqEW5nrMhvyEhEyTnOMd,Conan Gray,-0.528861737,0.391415084,-0.363030394,2
229,05JtBVWRtSzqLoj7jj30kn,https://open.spotify.com/track/05JtBVWRtSzqLoj7jj30kn,Conan Gray,-0.564857468,0.592901186,-0.326693196,2
230,4xqrdfXkTW4T0RauPLv3WA,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA,Conan Gray,-0.462943932,0.353885209,0.08730725,2
232,5GVPVxgdgTKJFxSxLVIw1A,https://open.spotify.com/track/5GVPVxgdgTKJFxSxLVIw1A,Conan Gray,-0.563138164,0.593255666,-0.324096012,2
254,0SkgmGr08TvWQciNRgRtmc,https://open.spotify.com/track/0SkgmGr08TvWQciNRgRtmc,Steve Lacy,-0.473706868,0.312685089,-0.088261564,2
299,3WwV6tZY9gVM8Q9YFEgEYA,https://open.spotify.com/track/3WwV6tZY9gVM8Q9YFEgEYA,The Weeknd,-0.399305606,0.493347482,0.658585985,2
317,4FDPuFJTMXyNtEd14Ca8R9,https://open.spotify.com/track/4FDPuFJTMXyNtEd14Ca8R9,Anuel AA,-0.431969325,0.443708655,0.370971538,2
361,3Db89SEt6KpQj4gMqcdKM4,https://open.spotify.com/track/3Db89SEt6KpQj4gMqcdKM4,Giveon,-0.489257736,0.509190038,0.008462151,2
363,5Y7dUgG3vyx3541JagbWvv,https://open.spotify.com/track/5Y7dUgG3vyx3541JagbWvv,Giveon,-0.400912999,0.170327367,0.246603322,2
369,4wVOKKEHUJxHCFFNUWDn0B,https://open.spotify.com/track/4wVOKKEHUJxHCFFNUWDn0B,Drake,-0.367024891,0.321076388,0.510904827,2
381,113vVzBjoqcbtJD2yimqnY,https://open.spotify.com/track/113vVzBjoqcbtJD2yimqnY,wave to earth,-0.467980081,0.761000326,0.509731276,2
383,1acVBP8BcK6LTeNeFjfxnh,https://open.spotify.com/track/1acVBP8BcK6LTeNeFjfxnh,wave to earth,-0.484543485,0.626588751,0.304602083,2
389,4l0Mvzj72xxOpRrp6h8nHi,https://open.spotify.com/track/4l0Mvzj72xxOpRrp6h8nHi,Selena Gomez,-0.483699515,0.426987547,-0.008027057,2
405,7HxsUpCCSuP71Et8u6Jz5l,https://open.spotify.com/track/7HxsUpCCSuP71Et8u6Jz5l,Jay Wheeler,-0.429457707,0.371267969,0.286500351,2
