,id,url,Artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,0T5iIrXA4p5GsubkhuBIKV,https://open.spotify.com/track/0T5iIrXA4p5GsubkhuBIKV,Stephen Sanchez,0.539,0.508,10.0,-6.05,1.0,0.0288,0.727,0.0,0.174,0.227,101.358
1,5HCyWlXZPP0y6Gqq8TgA20,https://open.spotify.com/track/5HCyWlXZPP0y6Gqq8TgA20,The Kid LAROI,0.591,0.764,1.0,-5.484,1.0,0.0483,0.0383,0.0,0.103,0.478,169.928
2,0oaY19dUwZimIgzn3ZZLZO,https://open.spotify.com/track/0oaY19dUwZimIgzn3ZZLZO,Justin Bieber,0.583,0.444,9.0,-8.601,1.0,0.0456,0.593,0.0,0.353,0.167,119.59
3,5NU40QTlXrDUJzDBdv79bg,https://open.spotify.com/track/5NU40QTlXrDUJzDBdv79bg,Justin Bieber,0.677,0.633,7.0,-7.831,1.0,0.0771,0.0314,0.0,0.112,0.409,89.934
4,6F2r4HgpJnvKDmkN6JEN6J,https://open.spotify.com/track/6F2r4HgpJnvKDmkN6JEN6J,Justin Bieber,0.595,0.543,11.0,-8.149,1.0,0.038,0.127,0.0,0.0975,0.109,99.928
5,3T03rPwlL8NVk1yIaxeD8U,https://open.spotify.com/track/3T03rPwlL8NVk1yIaxeD8U,Justin Bieber,0.509,0.228,4.0,-8.68,1.0,0.0332,0.92,0.0,0.104,0.586,90.674
6,6Xgq7MvZiet0hVi3KaDSgJ,https://open.spotify.com/track/6Xgq7MvZiet0hVi3KaDSgJ,Justin Bieber,0.67,0.693,6.0,-8.34,1.0,0.35,0.2,0.0,0.0909,0.388,87.017
7,137mSruegm1u6x9NvwiagR,https://open.spotify.com/track/137mSruegm1u6x9NvwiagR,Justin Bieber,0.495,0.333,4.0,-10.109,0.0,0.0288,0.737,0.0,0.112,0.37,99.757
8,680qLWCMRfR6evrNNBCE9e,https://open.spotify.com/track/680qLWCMRfR6evrNNBCE9e,Justin Bieber,0.649,0.429,10.0,-8.428,0.0,0.468,0.386,0.0,0.311,0.426,100.389
9,7aely3H8kMj9o0gt6vXHE1,https://open.spotify.com/track/7aely3H8kMj9o0gt6vXHE1,Justin Bieber,0.728,0.629,1.0,-6.629,1.0,0.0318,0.00196,1.94e-06,0.0847,0.71,135.031
10,1nahzW3kfMuwReTka28tH5,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5,Justin Bieber,0.658,0.634,1.0,-6.068,0.0,0.0431,0.0104,0.0,0.12,0.302,140.002
11,3buwFfY33H32wfZ6X9poV3,https://open.spotify.com/track/3buwFfY33H32wfZ6X9poV3,Justin Bieber,0.551,0.756,2.0,-7.679,1.0,0.045,0.000284,9.48e-05,0.118,0.359,75.991
12,6I3mqTwhRpn34SLVafSH7G,https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G,Justin Bieber,0.601,0.741,2.0,-5.569,1.0,0.0478,0.185,2.91e-05,0.415,0.441,153.96
13,4iJyoBOLtHqaGxP12qzhQI,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI,Justin Bieber,0.677,0.696,0.0,-6.181,1.0,0.119,0.321,0.0,0.42,0.464,90.03
14,27UcQ6dAvQrgH9C880rCM3,https://open.spotify.com/track/27UcQ6dAvQrgH9C880rCM3,Justin Bieber,0.759,0.584,8.0,-6.655,1.0,0.06,0.0652,1.59e-06,0.16,0.374,127.138
15,2tB9OFgAHjAds3cqquLlvp,https://open.spotify.com/track/2tB9OFgAHjAds3cqquLlvp,Justin Bieber,0.79,0.724,1.0,-6.972,1.0,0.0852,0.0696,2.33e-06,0.113,0.642,101.04
16,2WnAKZefdRHxtBEkRjFOHC,https://open.spotify.com/track/2WnAKZefdRHxtBEkRjFOHC,Justin Bieber,0.685,0.521,2.0,-8.285,1.0,0.0345,0.185,3.59e-06,0.111,0.578,115.885
17,3S8jK1mGzQi24ilFb45DAZ,https://open.spotify.com/track/3S8jK1mGzQi24ilFb45DAZ,Justin Bieber,0.619,0.241,11.0,-7.102,0.0,0.046,0.9,0.0,0.116,0.0719,79.461
18,0gplL1WMoJ6iYaPgMCL0gX,https://open.spotify.com/track/0gplL1WMoJ6iYaPgMCL0gX,Adele,0.604,0.366,5.0,-7.519,1.0,0.0282,0.578,0.0,0.133,0.13,141.981
19,2KZ3sNqPogEyMUUH6A5HFy,https://open.spotify.com/track/2KZ3sNqPogEyMUUH6A5HFy,LISA,0.804,0.652,8.0,-6.282,1.0,0.0898,0.0267,0.000782,0.118,0.854,150.076
20,45OX2jjEw1l7lOFJfDP9fv,https://open.spotify.com/track/45OX2jjEw1l7lOFJfDP9fv,LISA,0.826,0.553,1.0,-10.121,0.0,0.234,0.163,4.12e-05,0.135,0.4,140.037
21,0sTlGEld0h8kIPZaKDYUf4,https://open.spotify.com/track/0sTlGEld0h8kIPZaKDYUf4,The Rare Occasions,0.309,0.883,9.0,-3.825,1.0,0.0808,0.0673,0.00111,0.0849,0.312,159.488
22,5fwSHlTEWpluwOM0Sxnh5k,https://open.spotify.com/track/5fwSHlTEWpluwOM0Sxnh5k,Farruko,0.762,0.766,7.0,-3.955,1.0,0.0343,0.00776,6.98e-05,0.128,0.442,130.001
23,2ksyzVfU0WJoBpu8otr4pz,https://open.spotify.com/track/2ksyzVfU0WJoBpu8otr4pz,INTERWORLD,0.593,0.641,7.0,-12.727,0.0,0.0992,0.426,0.901,0.122,0.147,175.014
24,6SRsiMl7w1USE4mFqrOhHC,https://open.spotify.com/track/6SRsiMl7w1USE4mFqrOhHC,Olivia Rodrigo,0.672,0.526,4.0,-6.446,1.0,0.0599,0.0311,1.37e-06,0.28,0.28,123.999
25,5CZ40GBx1sQ9agT82CLQCT,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT,Olivia Rodrigo,0.38,0.339,3.0,-7.885,1.0,0.0338,0.691,0.0,0.12,0.0849,100.607
26,5wANPM4fQCJwkGd4rN57mH,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH,Olivia Rodrigo,0.561,0.431,10.0,-8.81,1.0,0.0578,0.768,1.42e-05,0.106,0.137,143.875
27,4wcBRRpIfesgcyUtis7PEg,https://open.spotify.com/track/4wcBRRpIfesgcyUtis7PEg,Olivia Rodrigo,0.473,0.203,2.0,-12.627,1.0,0.102,0.941,0.0,0.126,0.419,168.884
28,6HU7h9RYOaPRFeh0R3UeAr,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr,Olivia Rodrigo,0.442,0.612,2.0,-7.222,1.0,0.112,0.584,5.7e-06,0.37,0.178,180.917
29,4ZtFanR9U6ndgddUvNcjcG,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG,Olivia Rodrigo,0.563,0.664,9.0,-5.044,1.0,0.154,0.335,0.0,0.0849,0.688,166.928
30,2TOzTqQXNmR2zDJXihjZ2e,https://open.spotify.com/track/2TOzTqQXNmR2zDJXihjZ2e,Olivia Rodrigo,0.638,0.259,7.0,-10.706,1.0,0.0898,0.753,0.0,0.219,0.269,88.485
31,2tGvwE8GcFKwNdAXMnlbfl,https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl,Olivia Rodrigo,0.395,0.443,6.0,-9.72,1.0,0.133,0.765,9.67e-06,0.0839,0.338,168.924
32,0MMyJUC3WNnFS1lit5pTjk,https://open.spotify.com/track/0MMyJUC3WNnFS1lit5pTjk,Olivia Rodrigo,0.695,0.575,10.0,-6.334,0.0,0.116,0.198,0.0,0.0614,0.699,163.929
33,5JCoSi02qi3jJeHdZXMmR8,https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8,Olivia Rodrigo,0.369,0.272,9.0,-10.497,1.0,0.0364,0.866,0.0,0.147,0.218,172.929
34,1zejeOnykpCoyVSit6Bwp3,https://open.spotify.com/track/1zejeOnykpCoyVSit6Bwp3,Olivia Rodrigo,0.443,0.298,0.0,-12.181,1.0,0.0644,0.388,1e-05,0.103,0.172,77.253
35,186NCtNk1tUYS7c2DxgJ7O,https://open.spotify.com/track/186NCtNk1tUYS7c2DxgJ7O,V,0.437,0.384,5.0,-8.384,1.0,0.042,0.699,2.33e-05,0.121,0.181,139.009
36,37rnSr2ZCkzqmoUqGQtn4q,https://open.spotify.com/track/37rnSr2ZCkzqmoUqGQtn4q,V,0.549,0.194,5.0,-15.426,1.0,0.0421,0.721,0.929,0.105,0.0392,140.07
37,7EkWXAI1wn8Ii883ecd9xr,https://open.spotify.com/track/7EkWXAI1wn8Ii883ecd9xr,Surf Curse,0.345,0.941,9.0,-9.918,1.0,0.0466,3.84e-05,0.633,0.0511,0.407,179.626
38,3CeCwYWvdfXbZLXFhBrbnf,https://open.spotify.com/track/3CeCwYWvdfXbZLXFhBrbnf,Taylor Swift,0.626,0.79,2.0,-4.302,1.0,0.0311,0.135,3.97e-06,0.0989,0.416,119.082
