,id,url,Artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
28,3dnP0JxCgygwQH9Gm7q7nb,https://open.spotify.com/track/3dnP0JxCgygwQH9Gm7q7nb,Eslabon Armado,0.668,0.758,5.0,-5.176,0.0,0.0332,0.483,1.89e-05,0.0837,0.834,147.989
29,3k79jB4aGmMDUQzEwa46Rz,https://open.spotify.com/track/3k79jB4aGmMDUQzEwa46Rz,Olivia Rodrigo,0.511,0.532,5.0,-5.745,1.0,0.056,0.169,0.0,0.311,0.322,137.827
30,0hL9gOw6XBWsygEUcVjxEc,https://open.spotify.com/track/0hL9gOw6XBWsygEUcVjxEc,Travis Scott,0.608,0.754,8.0,-5.277,1.0,0.0719,0.0305,0.0,0.119,0.455,97.071
31,1PH2MDbcBAU094DlgTIND1,https://open.spotify.com/track/1PH2MDbcBAU094DlgTIND1,Travis Scott,0.657,0.553,10.0,-7.08,0.0,0.0394,0.254,0.0,0.129,0.576,134.925
32,3KCNiDi9Pza6ZD8FggNoaw,https://open.spotify.com/track/3KCNiDi9Pza6ZD8FggNoaw,Travis Scott,0.517,0.539,9.0,-6.474,0.0,0.038,0.000564,1.4e-05,0.537,0.531,108.984
33,4kjI1gwQZRKNDkw1nI475M,https://open.spotify.com/track/4kjI1gwQZRKNDkw1nI475M,Travis Scott,0.455,0.621,0.0,-7.694,0.0,0.0517,0.651,2.59e-06,0.123,0.28,119.043
34,04WxWo7XeVyx22xEsrWRUb,https://open.spotify.com/track/04WxWo7XeVyx22xEsrWRUb,Travis Scott,0.624,0.65,2.0,-5.819,1.0,0.0358,0.0229,1.21e-05,0.145,0.138,150.048
35,7LSpFCvRZZot2AlmkUzy9k,https://open.spotify.com/track/7LSpFCvRZZot2AlmkUzy9k,Travis Scott,0.588,0.88,9.0,-6.117,0.0,0.0747,0.0976,0.000167,0.767,0.242,96.003
36,67nepsnrcZkowTxMWigSbb,https://open.spotify.com/track/67nepsnrcZkowTxMWigSbb,Travis Scott,0.557,0.774,7.0,-5.275,0.0,0.351,0.012,0.0,0.396,0.397,111.975
37,42VsgItocQwOQC3XWZ8JNA,https://open.spotify.com/track/42VsgItocQwOQC3XWZ8JNA,Travis Scott,0.569,0.882,3.0,-2.777,0.0,0.06,0.0316,0.0,0.142,0.201,148.038
38,0OEe83mMZ5kaNw5uZQ7ilG,https://open.spotify.com/track/0OEe83mMZ5kaNw5uZQ7ilG,Travis Scott,0.674,0.609,2.0,-6.306,0.0,0.045,0.461,0.0,0.328,0.509,116.066
39,6wsqVwoiVH2kde4k4KKAFU,https://open.spotify.com/track/6wsqVwoiVH2kde4k4KKAFU,Travis Scott,0.927,0.619,5.0,-4.441,0.0,0.0539,0.0186,0.0,0.104,0.817,117.995
40,0lodMO0qK83vfPiiD7FMEt,https://open.spotify.com/track/0lodMO0qK83vfPiiD7FMEt,Travis Scott,0.715,0.567,1.0,-4.481,0.0,0.0865,0.06,0.0,0.0655,0.332,160.098
41,4GL9GMX9t7Qkprvf1YighZ,https://open.spotify.com/track/4GL9GMX9t7Qkprvf1YighZ,Travis Scott,0.682,0.764,1.0,-6.314,1.0,0.0327,0.000779,0.0089,0.373,0.248,125.018
42,2Q0aElTZQtEUsoiaQfizu6,https://open.spotify.com/track/2Q0aElTZQtEUsoiaQfizu6,Travis Scott,0.361,0.395,5.0,-8.51,0.0,0.0429,0.858,0.00356,0.211,0.208,75.923
43,0bkV1iQHSxBaksUqgEkcbc,https://open.spotify.com/track/0bkV1iQHSxBaksUqgEkcbc,Travis Scott,0.472,0.551,5.0,-7.219,0.0,0.25,0.103,0.0,0.345,0.347,83.25
44,7EiUtdeoWcKqLi5ELZCjYf,https://open.spotify.com/track/7EiUtdeoWcKqLi5ELZCjYf,Travis Scott,0.645,0.803,1.0,-4.223,1.0,0.227,0.085,0.0,0.101,0.314,89.499
45,0a4SMs889NwP8oWI7Vemle,https://open.spotify.com/track/0a4SMs889NwP8oWI7Vemle,Travis Scott,0.678,0.739,3.0,-4.358,1.0,0.044,0.0712,0.0,0.388,0.108,110.967
46,4o82J5zr4DFEs9yj5szCVX,https://open.spotify.com/track/4o82J5zr4DFEs9yj5szCVX,Travis Scott,0.813,0.621,5.0,-5.614,0.0,0.0618,0.0405,2.74e-06,0.67,0.545,121.057
47,1i9lZvlaDdWDPyXEE95aiq,https://open.spotify.com/track/1i9lZvlaDdWDPyXEE95aiq,Travis Scott,0.458,0.535,5.0,-4.854,0.0,0.0281,0.575,0.0,0.168,0.216,82.826
48,76gcXhY3Zv6wW0BTe9nHJo,https://open.spotify.com/track/76gcXhY3Zv6wW0BTe9nHJo,Travis Scott,0.65,0.659,3.0,-6.522,0.0,0.123,0.174,0.00772,0.126,0.154,76.985
49,3O4V8llGlOYtmZVoZi8U5v,https://open.spotify.com/track/3O4V8llGlOYtmZVoZi8U5v,Tainy,0.788,0.536,11.0,-4.765,1.0,0.206,0.831,0.0,0.181,0.342,113.013
50,5NhLA2P7AiV3cloVmwtwLS,https://open.spotify.com/track/5NhLA2P7AiV3cloVmwtwLS,Tainy,0.654,0.811,0.0,-4.18,1.0,0.106,0.0401,0.0,0.424,0.432,163.303
51,5kvMHWJfoIgKTpP5HzpG25,https://open.spotify.com/track/5kvMHWJfoIgKTpP5HzpG25,Tainy,0.765,0.75,5.0,-4.626,1.0,0.0528,0.16,0.0,0.314,0.566,101.998
