,id,url,Artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
26,2Xnv3GntqbBH1juvUYSpHG,https://open.spotify.com/track/2Xnv3GntqbBH1juvUYSpHG,Ava Max,0.681,0.657,6.0,-4.671,1.0,0.0432,0.0748,0.0,0.353,0.628,130.089,['pop']
27,5iyZwawawLjHYpX4MxUKVF,https://open.spotify.com/track/5iyZwawawLjHYpX4MxUKVF,Ava Max,0.693,0.835,6.0,-3.242,1.0,0.0624,0.131,0.0,0.073,0.744,128.052,['pop']
28,7DnAm9FOTWE3cUvso43HhI,https://open.spotify.com/track/7DnAm9FOTWE3cUvso43HhI,Ava Max,0.72,0.706,1.0,-4.719,1.0,0.0473,0.0684,0.0,0.166,0.62,133.002,['pop']
29,58HvfVOeJY7lUuCqF0m3ly,https://open.spotify.com/track/58HvfVOeJY7lUuCqF0m3ly,Elley Duhé,0.41,0.611,4.0,-8.271,0.0,0.0467,0.0228,0.0,0.116,0.0899,185.727,['alt z']
30,4HBZA5flZLE435QTztThqH,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH,Ariana Grande,0.597,0.45,8.0,-6.658,1.0,0.0418,0.223,0.0,0.382,0.537,178.765,['pop']
31,47EiUVwUp4C9fGccaPuUCS,https://open.spotify.com/track/47EiUVwUp4C9fGccaPuUCS,Bad Bunny,0.731,0.573,4.0,-10.059,0.0,0.0544,0.401,5.22e-05,0.113,0.145,109.928,"['reggaeton', 'trap latino', 'urbano latino']"
32,55ZcA6PazdlXjE1jO5GrzJ,https://open.spotify.com/track/55ZcA6PazdlXjE1jO5GrzJ,Halsey,0.663,0.531,7.0,-6.339,1.0,0.0827,0.137,0.0,0.146,0.366,125.014,"['electropop', 'etherpop', 'indie poptimism', 'pop']"
33,66c7n8ZXmYQQeXyNVfiArc,https://open.spotify.com/track/66c7n8ZXmYQQeXyNVfiArc,Halsey,0.533,0.437,3.0,-7.659,0.0,0.162,0.885,0.0,0.106,0.48,143.263,"['electropop', 'etherpop', 'indie poptimism', 'pop']"
34,2ufmtcIFdFpuUYBPXK5f67,https://open.spotify.com/track/2ufmtcIFdFpuUYBPXK5f67,Halsey,0.667,0.583,11.0,-5.127,0.0,0.0747,0.231,4.48e-05,0.181,0.187,92.043,"['electropop', 'etherpop', 'indie poptimism', 'pop']"
35,7lidXGPXPYLNThITAOTlkK,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK,Halsey,0.591,0.585,2.0,-6.35,1.0,0.0277,0.143,0.0,0.109,0.324,110.94,"['electropop', 'etherpop', 'indie poptimism', 'pop']"
36,6BORJ0ZazxMBpM3cWg79Id,https://open.spotify.com/track/6BORJ0ZazxMBpM3cWg79Id,Halsey,0.509,0.265,2.0,-9.716,0.0,0.0344,0.746,1.08e-06,0.198,0.291,70.028,"['electropop', 'etherpop', 'indie poptimism', 'pop']"
37,2sOOXgEGB7nhKO8mmc1GhI,https://open.spotify.com/track/2sOOXgEGB7nhKO8mmc1GhI,Halsey,0.406,0.368,10.0,-6.31,1.0,0.0296,0.784,0.0,0.354,0.707,157.885,"['electropop', 'etherpop', 'indie poptimism', 'pop']"
38,35FjZytt5TukIgJD86UybL,https://open.spotify.com/track/35FjZytt5TukIgJD86UybL,Halsey,0.679,0.197,5.0,-7.078,1.0,0.0331,0.137,0.0,0.0887,0.559,79.504,"['electropop', 'etherpop', 'indie poptimism', 'pop']"
39,1OfLNb6dQ9dra1B58iT9Ex,https://open.spotify.com/track/1OfLNb6dQ9dra1B58iT9Ex,Halsey,0.385,0.871,0.0,-4.604,0.0,0.0795,0.00906,0.0,0.579,0.538,189.76,"['electropop', 'etherpop', 'indie poptimism', 'pop']"
40,6FZDfxM3a3UCqtzo5pxSLZ,https://open.spotify.com/track/6FZDfxM3a3UCqtzo5pxSLZ,Halsey,0.752,0.488,6.0,-7.05,1.0,0.0705,0.297,9.11e-06,0.0936,0.533,136.041,"['electropop', 'etherpop', 'indie poptimism', 'pop']"
41,42SOtYBdnfj9zEdZSlAq5k,https://open.spotify.com/track/42SOtYBdnfj9zEdZSlAq5k,Halsey,0.626,0.55,9.0,-5.105,0.0,0.029,0.051,0.0,0.118,0.123,133.976,"['electropop', 'etherpop', 'indie poptimism', 'pop']"
42,6ZmwwHYtun94UOdFWWgdif,https://open.spotify.com/track/6ZmwwHYtun94UOdFWWgdif,Halsey,0.705,0.89,0.0,-4.356,1.0,0.0555,0.00947,0.0,0.14,0.45,94.013,"['electropop', 'etherpop', 'indie poptimism', 'pop']"
43,1H3Okhf16ttAICZF7zgDko,https://open.spotify.com/track/1H3Okhf16ttAICZF7zgDko,Halsey,0.685,0.898,11.0,-5.796,1.0,0.186,0.243,0.000103,0.377,0.684,139.993,"['electropop', 'etherpop', 'indie poptimism', 'pop']"
44,1ZoQVu9XBssJBdeKMgF2eV,https://open.spotify.com/track/1ZoQVu9XBssJBdeKMgF2eV,Halsey,0.55,0.732,0.0,-6.88,1.0,0.105,0.0864,0.0,0.0425,0.246,153.836,"['electropop', 'etherpop', 'indie poptimism', 'pop']"
45,3jgHKbpswygyOMipFz06RQ,https://open.spotify.com/track/3jgHKbpswygyOMipFz06RQ,Halsey,0.399,0.224,11.0,-11.19,1.0,0.119,0.635,0.0,0.0836,0.172,170.795,"['electropop', 'etherpop', 'indie poptimism', 'pop']"
46,2Mfv5HaqnI18Q9JRv9hqnn,https://open.spotify.com/track/2Mfv5HaqnI18Q9JRv9hqnn,Halsey,0.708,0.661,0.0,-6.543,0.0,0.0546,0.0396,0.000244,0.113,0.317,102.046,"['electropop', 'etherpop', 'indie poptimism', 'pop']"
47,1ed6Wdjk7gkxI2lIYjAoJ2,https://open.spotify.com/track/1ed6Wdjk7gkxI2lIYjAoJ2,Halsey,0.642,0.317,9.0,-9.325,1.0,0.155,0.935,0.0,0.207,0.617,150.152,"['electropop', 'etherpop', 'indie poptimism', 'pop']"
48,45bE4HXI0AwGZXfZtMp8JR,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR,Tate McRae,0.667,0.373,4.0,-9.389,1.0,0.05,0.785,0.0,0.0906,0.0823,124.148,"['alt z', 'pop']"
49,2LiDZmGERLzjrtBTCofj2G,https://open.spotify.com/track/2LiDZmGERLzjrtBTCofj2G,Glass Animals,0.253,0.352,8.0,-11.509,1.0,0.0357,0.883,0.00191,0.0668,0.099,141.97,"['gauze pop', 'indietronica', 'modern rock', 'pov: indie', 'shiver pop']"
50,40rOlDoGejXXF4B0BYsjx8,https://open.spotify.com/track/40rOlDoGejXXF4B0BYsjx8,Glass Animals,0.845,0.583,9.0,-5.948,0.0,0.0773,0.114,0.000536,0.1,0.842,149.941,"['gauze pop', 'indietronica', 'modern rock', 'pov: indie', 'shiver pop']"
51,7jPN8R29pCxozomUtdlC7z,https://open.spotify.com/track/7jPN8R29pCxozomUtdlC7z,Glass Animals,0.0,0.138,10.0,-23.307,0.0,0.0,0.964,0.0,0.0,0.0,0.0,"['gauze pop', 'indietronica', 'modern rock', 'pov: indie', 'shiver pop']"
52,0r9OkYadpBgYA2bkkrRSsI,https://open.spotify.com/track/0r9OkYadpBgYA2bkkrRSsI,Glass Animals,0.705,0.487,0.0,-9.456,0.0,0.0587,0.0837,0.028,0.303,0.34,88.616,"['gauze pop', 'indietronica', 'modern rock', 'pov: indie', 'shiver pop']"
53,1cbAduwGVFsurbwDe57Uho,https://open.spotify.com/track/1cbAduwGVFsurbwDe57Uho,Glass Animals,0.0,0.226,5.0,-21.272,1.0,0.0,0.936,0.0254,0.676,0.0,0.0,"['gauze pop', 'indietronica', 'modern rock', 'pov: indie', 'shiver pop']"
